,title,location,posted_on,deadline,details,institute,link,keyword,comb,exist
71,Tenure-Track Professor/ Associate Professor/ Assistant Professor in the School of Public Health,Hong Kong,22 February 2025,20 Aug 2025 - 00:00 (UTC),"Ref.: 531277 Work type: Full-time Department: School of Public Health (22400) Categories: Professoriate Staff This is an open discipline, open rank call. Applications are invited for appointment as Tenure-Track Professor/ Associate Professor/ Assistant Professor (several posts) in the School of...",Times Higher Education,/jobs/319829,Behavioral_Data_Science,22 February 2025|/jobs/319829,False
72,Researcher in Exposomics and Its Role in the Onset and Progression of Neurological Diseases - Postdoctoral Position,Spain,18 February 2025,8 Sep 2025 - 17:45 (Europe/Madrid),"The Omics Sciences Unit is a scientific infrastructure equipped with the most advanced instruments on the market, such as 2nd and 3rd generation sequencers (Illumina, Ion Torrent, Nanopore, and Luminex technologies) for studies in genomics, metagenomics, epigenomics, and transcriptomics, as well as...",EURECAT,/jobs/318192,Behavioral_Data_Science,18 February 2025|/jobs/318192,False
73,Postdoctoral position in the Laboratory of Biological Rhythms,Czech Republic,8 February 2025,31 Aug 2025 - 23:00 (UTC),"Postdoctoral position in the Laboratory of Biological Rhythms Czech Academy of Sciences Biomedical Research Campus in Prague, Krč Project title: Impact of disruption of the circadian system on health Supervisor: Prof. PharmDr. Alena Sumova, DSc. Laboratory of Biological Rhythms Institute of...",jobRxiv,/jobs/315310,Behavioral_Data_Science,8 February 2025|/jobs/315310,False
74,18-month postdoc at IFPEN -- Development of a Dynamic Modeling Methodology for Urban Mobility with MATSim Using Dynamic Data,France,6 February 2025,30 Sep 2025 - 23:59 (Europe/Paris),"KeywordsMobility simulation, MATSim/EQASim, mobility demand, OD matrix, data fusion, mobile phone data, public transport ticketing dataContextMATSim is a widely-used activity-and-agent based simulation framework designed to analyze transportation systems and urban planning. The MATSim scenario [1-2]...",IFP Energies nouvelles (IFPEN),/jobs/314926,Behavioral_Data_Science,6 February 2025|/jobs/314926,False
75,18-month postdoc at IFPEN - Monitoring mobility patterns: detection of punctual anomalies and long-lasting disruptions,France,6 February 2025,30 Sep 2025 - 23:59 (Europe/Paris),"KeywordsAnomaly detection, mobility monitoring, spatiotemporal analysis, short-term and long-term disruptions.ContextIn recent years, urban mobility patterns have undergone significant changes. Local authorities have implemented green policies to transform the transportation ecosystem, while COVID...",IFP Energies nouvelles (IFPEN),/jobs/314921,Behavioral_Data_Science,6 February 2025|/jobs/314921,False
76,Postdoc position in Animal Migration Ecology,Czech Republic,21 December 2024,9 Aug 2025 - 22:00 (UTC),"We are a research campus with a strong tradition in biosciences focused on complex ecological, evolutionary & developmental aspects of LIFE. The Faculty of Science, University of South Bohemia in České Budějovice, Czech Republic, is seeking a motivated Post-doctoral Researcher in Animal Migration...",ResearchJobs.cz,/jobs/304019,Behavioral_Data_Science,21 December 2024|/jobs/304019,False
77,Postdoctoral position in the Laboratory of Biological Rhythms,Czech Republic,12 September 2024,30 Aug 2025 - 22:00 (UTC),"Postdoctoral position in the Laboratory of Biological Rhythms Czech Academy of Sciences Biomedical Research Campus in Prague, Krč Project title: Impact of disruption of the circadian system on health Supervisor: Prof. PharmDr. Alena Sumova, DSc. Laboratory of Biological Rhythms Institute of...",ResearchJobs.cz,/jobs/272288,Behavioral_Data_Science,12 September 2024|/jobs/272288,False
78,Machine Learning Research Engineer,Slovakia,1 March 2024,31 Dec 2025 - 18:00 (Europe/Bratislava),"To our unique scientific institute with a dynamic research community, we seek a highly motivated team member, who will participate in interesting collaboration with industry and knowledge transfer. Your contribution will drive positive change through unique software solutions and you will...",Kempelen Institute of Intelligent Technologies,/jobs/200657,Behavioral_Data_Science,1 March 2024|/jobs/200657,False
79,"Post Doctoral Fellow, Aerospace Engineering",United Arab Emirates,9 January 2024,28 Feb 2026 - 00:00 (UTC),General Details Position Code: 8800971 Position Type: Project Based (Fixed Term) Position Duration: 01/Jan/2024 to 31/DEC/2024 Position Title: Post-Doctoral Fellow Project Title: Drone Aerodynamics and Wake Interactions: Towards Urban Air Mobility Project Supervisor: Dr. Roberto Sabatini (lead)...,Times Higher Education,/jobs/184172,Behavioral_Data_Science,9 January 2024|/jobs/184172,False
80,Predoctoral Researcher Funding Contract (Enric Julià Danés) - Transport emissions inequality and the harmonization of Low Emission Zones in the EU,Spain,22 July 2025,28 Sep 2025 - 23:59 (Europe/Madrid),"We are offering a Predoctoral Researcher Funding Contract to work on the project titled “Transport emissions inequality and the harmonization of Low Emission Zones in the EU”, supported by the Enric Julià Danés Predoctoral Researcher Funding Contract. This contract covers a three-year scholarship to...",Institut Quimic Sarria (IQS) – Universitat Ramon Llull,/jobs/363071,Behavioral_Data_Science,22 July 2025|/jobs/363071,False
81,VAC_60_2025 - GROUP LEADER,Spain,22 July 2025,31 Aug 2025 - 23:59 (Europe/Madrid),"The Josep Carreras Leukaemia Research Institute (IJC) is a comprehensive cancer research center dedicated to conduct research and drive innovation in the epidemiological, preventive, clinical, translational, and basic aspects of leukaemia and other hematologic malignancies, with the final aim of...",Josep Carreras Leukaemia Research Institute (IJC),/jobs/363001,Behavioral_Data_Science,22 July 2025|/jobs/363001,False
82,PhD in movement and behavioural ecology (M/F),France,22 July 2025,11 Aug 2025 - 23:59 (UTC),"The PhD is funded by the project RESALP, a collaborative project between CNRS and the Office Français de la Biodiversité (OFB). The hired person will be co-supervised by Philippe CHOLER (CNRS) and Mathieu GAREL (OFB). This PhD project aims to better understand how mountain animal species adjust...",CNRS - National Center for Scientific Research,/jobs/362932,Behavioral_Data_Science,22 July 2025|/jobs/362932,False
83,Doctoral student in software engineering (F/M),France,22 July 2025,21 Aug 2025 - 00:00 (UTC),"The SPIRALS project team carries out research activities in the fields of distributed systems and software science. Our aim is to introduce more autonomy into the adaptation mechanisms of software systems, in particular to ensure the transition from adaptive to self-adaptive systems. In particular...",inria,/jobs/362869,Behavioral_Data_Science,22 July 2025|/jobs/362869,False
84,PhD Student – Bioinformatics / Computational Biology (m/f/d),Germany,22 July 2025,20 Aug 2025 - 23:00 (UTC),"Join our exciting mission to decode leukemic dormancy and plasticity in AML! The research group of Dr. Junyan Lu (https://lu-group-ukhd.github.io/) at the Medical Faculty of Heidelberg University, in collaboration with Prof. Dr. Irmela Jeremias, invites applications for a PhD student in...",jobRxiv,/jobs/362874,Behavioral_Data_Science,22 July 2025|/jobs/362874,False
86,Postdoc ManufActuring contRol Sonicare (MARS) (1.0 FTE),Netherlands,22 July 2025,15 Sep 2025 - 22:00 (UTC),"Postdoctoral position: ManufActuring contRol Sonicare (MARS) Due to the complexity of the assembly process anomalies can occur, that lead to unplanned downtime and sub-optimal production outcomes. Deviations from normal behavior have diverse causes, ranging from misplacement, heterogeneity in...",University of Groningen via AcademicTransfer,/jobs/362862,Behavioral_Data_Science,22 July 2025|/jobs/362862,False
87,PhD CIFRE NEWHEAT/MINES PARIS: AI-assisted control & optimisation of  flexibility services provision of a Power-To-Heat installation with low-temperature thermal storage,France,22 July 2025,11 Sep 2025 - 22:00 (UTC),"Title: ""AI-assisted real-time control and optimisation of flexibility services provision of a Power-To-Heat installation integrating low-temperature thermal storage” Context and background: The European energy landscape is changing. On the generation side, the increased integration of renewable...",ABG  - Association Bernard Gregory,/jobs/362885,Behavioral_Data_Science,22 July 2025|/jobs/362885,False
88,Postdoctoral Research Fellow - Molecular Simulation of Lipid Nanoparticles,Australia,22 July 2025,24 Aug 2025 - 00:00 (UTC),"Full-time, Fixed Term for 3 Years Salary Academic Level A6-B1 ($102,047 -$115,303 p.a.), depending on post-PhD experience 17% Superannuation and Flexible Working Arrangements Based at the RMIT Melbourne CBD campus About the Role We are seeking a Postdoctoral Research Fellow to join RMIT's Materials...",Times Higher Education,/jobs/362891,Behavioral_Data_Science,22 July 2025|/jobs/362891,False
89,"Assistant professor in the group of research and teaching staff at the Institute of Management (Department of Marketing and Communication),",Poland,21 July 2025,21 Aug 2025 - 23:59 (Europe/Warsaw),"Invitation to the applications to the post of K.16.25.BDin accordance with Art. 119 paragraph. 1 of the Act of July 20, 2018 Law on Higher Education and Science (i.e. Journal of Laws of 2024, item 1571, as amended)INSTITUTION: POMERANIAN UNIVERSITY IN SŁUPSK, INSTITUTE OF MANAGEMENTCITY...",Uniwersytet Pomorski w Słupsku,/jobs/362752,Behavioral_Data_Science,21 July 2025|/jobs/362752,False
103,Research Fellow in Experimental Psychology,United Kingdom,26 July 2025,14 Aug 2025 - 00:00 (UTC),Applications are invited to work on a Wellcome LEAP funded project in mental health science that will evaluate the potential benefits of a computerised psychological intervention on aspects of human cognition and emotion processing. We invite applications from individuals with a background in human...,Times Higher Education,/jobs/364517,Cognitive_Neuroscience,26 July 2025|/jobs/364517,False
105,2025-2026_1_180 - A post-doctoral researcher contract in bilingual acquisition.,Spain,25 July 2025,2 Sep 2025 - 23:55 (Europe/Madrid),The position is primarily a research appointment but also involves teaching a Spanish course at the International Centre for Spanish Studies (CIEE UIB).PI: Dr. Pedro Guijarro Fuentes Funding body: Ministerio de Ciencia e Innovación (MICINN) Institution: Universitat de les Illes Balears (UIB) /...,Universitat de les Illes Balears,/jobs/364239,Cognitive_Neuroscience,25 July 2025|/jobs/364239,False
110,Doctorant(e) (M/F) : Étude de l'apprentissage sensoriel et de la perception chez l'abeille,France,30 July 2025,19 Aug 2025 - 23:59 (UTC),"The research will take place at the Centre des Sciences du Goût et de l'Alimentation (CSGA) in Dijon, within the PERSING team, which investigates the molecular and cellular mechanisms of chemosensory perception in insects. Using model species such as Drosophila and the honey bee, the team explores...",CNRS - National Center for Scientific Research,/jobs/365354,Cognitive_Neuroscience,30 July 2025|/jobs/365354,False
112,PhD student: Study on cerebellar control M/F,France,30 July 2025,19 Aug 2025 - 23:59 (UTC),"The doctoral student will work for a period of 36 months in the “Neural Network Physiology” team at the Institute of Cellular and Integrative Neuroscience (INCI – UPR3212), under the supervision of Dr. Philippe Isope. The team consists of approximately 16 people (including 6 permanent researchers)...",CNRS - National Center for Scientific Research,/jobs/365361,Cognitive_Neuroscience,30 July 2025|/jobs/365361,False
114,Research Assistant: Serotonergic Modulation of Meta-Decision Making at the Donders Centre for Cognition,Netherlands,30 July 2025,10 Aug 2025 - 21:59 (UTC),"Are you passionate about the brain and behavior? Join our dynamic research team to explore how serotonin shapes meta-decision making, using cutting-edge methods from psychology, neuroimaging, and psychopharmacology. As a research assistant, you'll play a key role in coordinating and conducting a...",Radboud University Nijmegen via AcademicTransfer,/jobs/365250,Cognitive_Neuroscience,30 July 2025|/jobs/365250,False
115,Grant in the project entitled «STEM-CARE: Targeting neural stem cells for major depressive disorder: studying synergies between cannabinoid type 2 receptors and physical exercise» with reference 2023.17303.ICDT,Portugal,29 July 2025,14 August 2025,"The Associação para Investigação e Desenvolvimento da Faculdade de Medicina (AIDFM) opens a Master research Grant in the project entitled «STEM-CARE:Targeting neural stem cells for major depressive disorder: studying synergies between cannabinoid type 2 receptors and physical exercise» , with......",Associação para Investigação e Desenvolvimento da Faculdade Medicina,/jobs/hosting/grant-project-entitled-stem-care-targeting-neural-stem-cells-major-depressive-disorder,Cognitive_Neuroscience,29 July 2025|/jobs/hosting/grant-project-entitled-stem-care-targeting-neural-stem-cells-major-depressive-disorder,False
118,Lecturer in Science of Learning,Australia,29 July 2025,27 Aug 2025 - 00:00 (UTC),"Role type: ContinuingFaculty: Faculty of EducationSalary: Level B - $122,212 to $145,121 p.a. plus 17% superContribute to the advancement of research, teaching, and engagement in the Science of Learning specialisation within the Master of Education, with a particular focus on bridging educational...",Times Higher Education,/jobs/364882,Cognitive_Neuroscience,29 July 2025|/jobs/364882,False
138,PhD POSITION: REORGANIZATION OF VISUO-COGNITIVE SKILLS ASSOCIATED WITH PERIPHERAL VISION DURING AGEING (M/F),France,18 July 2025,7 Aug 2025 - 23:59 (UTC),"A traduireThe PhD student will be integrated into the Psychology and NeuroCognition Laboratory (LPNC, CNRS UMR 5105) at Université Grenoble Alpes (UGA). The LPNC is a joint research unit affiliated with both the CNRS and UGA, organized into five research teams conducting work in cognitive science...",CNRS - National Center for Scientific Research,/jobs/362298,Neuroimaging_Science,18 July 2025|/jobs/362298,False
139,Funded PhD Position - ISEY and Leverhulme Trust,United Kingdom,17 July 2025,17 Aug 2025 - 00:00 (UTC),"Location Stratford Campus Salary The studentship will cover full tuition fees at the Home (UK-based) student rate and a maintenance grant for 3 years, at the rate of £21,237 pa. Post Type Full Time Closing Date Sunday 17 August 2025 Reference PHD002-25 A funded PhD position is available on a project...",Times Higher Education,/jobs/361831,Neuroimaging_Science,17 July 2025|/jobs/361831,False
140,Postdoctoral researcher (M/F) – Study of residents' relationships with biodiversity in residential green spaces: questionnaire and psycho-physiological approach,France,29 July 2025,18 Aug 2025 - 23:59 (UTC),The successful candidate will contribute to an interdisciplinary study conducted as part of the Villegarden project to characterize residents' relationships with residential green spaces (EVR) and the biodiversity they host. This study will be based on a nationwide questionnaire survey conducted in...,CNRS - National Center for Scientific Research,/jobs/364906,EEG,29 July 2025|/jobs/364906,False
142,COMPETITION FOR THE POSITION OF ASSISTANT PROFESSOR IN THE RESEARCH STAFF GROUP (Ref. No. 3667),Poland,26 July 2025,26 Aug 2025 - 23:59 (UTC),"TASKS/ROLE * colecting, processing and analysis data from patietnts brain and eyes * programing and developing tools to data processing * preparing and publishing research results",Gdańsk University of Technology,/jobs/364543,EEG,26 July 2025|/jobs/364543,False
144,2025-2026_1_197 -  A technical support contract for EEG activities.,Spain,25 July 2025,2 Sep 2025 - 23:55 (Europe/Madrid),The successful candidate will provide technical support for a study on the effects of non-invasive electrical brain stimulation (tACS) on different EEG parameters under the framework of project PID2022-140561NB-I00 on chronic pain and neuromodulation. They will be in charge of contacting experiment...,Universitat de les Illes Balears,/jobs/364399,EEG,25 July 2025|/jobs/364399,False
145,full-time Assistant Professor in a group of research and teaching staff at the Faculty of Computer Science and Information Technology at the Department of Information Systems Engineering,Poland,25 July 2025,29 Aug 2025 - 00:00 (Europe/Warsaw),"Position characteristics:Assistant Professor in the group of research and teaching staff, ready to actively engage in research and teaching activities in line with the profile of the Chair. The candidate will be offered support in scientific development, the possibility of participation in...","West Pomeranian University of Technology, Szczecin",/jobs/364253,EEG,25 July 2025|/jobs/364253,False
148,Academic Staff (m/f/d) in the field of Neuroadaptive Human-Technology Interaction,Germany,21 July 2025,18 Aug 2025 - 23:59 (Europe/Berlin),"We are a young and dynamic technical university in the heart of Lusatia, developing practical, science-based solutions to address major future challenges and global transformation processes.In Faculty 1 MINT - Mathematics, Computer Science, Physics, Electrical Engineering and Information Technology...",Brandenburgische Technische Universität Cottbus,/jobs/362755,EEG,21 July 2025|/jobs/362755,False
154,Postdoctoral Research Associate in Deep Learning for Neuroimage Analysis,United Kingdom,2 August 2025,24 Aug 2025 - 00:00 (UTC),About Us We are seeking experts in medical image deep learning to join our team and help develop novel computationally efficient segmentation algorithms. We welcome application from individual with experience in: Deep learning Medical imaging computing (preferably neuroimaging) Computationally...,Times Higher Education,/jobs/366239,Neuroimaging_Science,2 August 2025|/jobs/366239,False
155,Research Grant_2023.13402.PEX_VR-ACT_L. 1115824,Portugal,31 July 2025,12 Sep 2025 - 23:59 (Europe/London),"Call for Research Grant Assignment The University of Coimbra opens a call for the assignment of a research grant, with one position(s), under the project 2023.13402.PEX, com o título ""VR-ACT after Stroke: a feasibility RCT of a Virtual Reality delivery of ACT for pain management and mental health in...",Universidade de Coimbra,/jobs/365933,Neuroimaging_Science,31 July 2025|/jobs/365933,False
157,FMUP | One Assistant Professor | Psychiatry and Mental Health | Notice n.º 1043/2025 - Pr. 354 (2023.13694.TENURE.093),Portugal,31 July 2025,12 Sep 2025 - 23:59 (Europe/Lisbon),"Doctor Maria de Fátima de Sousa Basto Vieira, Full Professor of the Faculty of Arts and Humanities of the University of Porto, Vice-Rector of the same University: I hereby make known that, by my order of July 21, 2025, in the use of competence delegated by Order No. 9493/2022, published in the...",Universidade do Porto – HR,/jobs/365915,Neuroimaging_Science,31 July 2025|/jobs/365915,False
162,Assistant - (As_K45_W04N_D03_11_2025),Poland,3 July 2025,29 Aug 2025 - 15:00 (Europe/Warsaw),"Reference No. As_K45_W04N_D03_11_2025Deadline for submitting applications to participate in the competition: by 29th August 2025, until 3.00 pm.Planned date of employment: 1st November 2025",Wrocław University of Science and Technology,/jobs/358093,EEG,3 July 2025|/jobs/358093,False
