title,location,posted_on,deadline,details,institute,link,keyword
Postdoctoral fellow - Department of Experimental Psychology,Belgium,24 June 2025,1 Jan 2026 - 22:59 (UTC),"Last application date Jan 01, 2026 00:00Department PP02 - Department of Experimental PsychologyContract Limited durationDegree PhDOccupancy rate 100%Vacancy type Research staffJob descriptionABOUT GHENT UNIVERSITYGhent University is a world of its own. Employing more than 15.000 people, it is...",Academic Positions,/jobs/354858,Computational_Neuroscience
Postdoctoral fellow - Department of Experimental Psychology,Belgium,24 June 2025,1 Jan 2026 - 22:59 (UTC),"Last application date Jan 01, 2026 00:00Department PP02 - Department of Experimental PsychologyContract Limited durationDegree PhDOccupancy rate 100%Vacancy type Research staffJob descriptionABOUT GHENT UNIVERSITYGhent University is a world of its own. Employing more than 15.000 people, it is...",Academic Positions,/jobs/354859,Computational_Neuroscience
Postdoctoral Researcher on Computational Modelling of Emotional Memory Binding,Netherlands,24 June 2025,20 Aug 2025 - 21:59 (UTC),"How do memories work together to create the stories of our lives? While we know a lot about the processing of single (emotional) events on the one hand, and autobiographical memory on the other, connecting these two fields is a challenge. This project is part of an NWO-funded (Vidi) project that...",University of Amsterdam (UvA) via AcademicTransfer,/jobs/354717,Computational_Neuroscience
Assistant Professor or Associate Professor in Cellular Metabolism,Finland,20 June 2025,17 Aug 2025 - 00:00 (UTC),The Faculty of Biological and Environmental Sciences invites applications for the position of ASSISTANT PROFESSOR / ASSOCIATE PROFESSOR IN CELLULAR METABOLISM The expected starting for the position is by 1st January 2026 or by mutual agreement. The successful applicant will be appointed to a fixed...,Times Higher Education,/jobs/354084,Computational_Neuroscience
Two Postdoctoral Positions in Human Brain Glycomics Research,Lithuania,16 June 2025,,"The laboratory of Urte Neniskyte at the Vilnius University Life Sciences Center and European Molecular Biology Laboratory Partnership Institute (Vilnius, Lithuania) is seeking two talented postdoctoral researchers to join an ERC Consolidator Grant project studying the role of neuronal glycocalyx in...",Vilnius University,/jobs/funding/two-postdoctoral-positions-human-brain-glycomics-research,Computational_Neuroscience
Postdoctoral Researcher in NeuroMetabolic Disease Modeling,Luxembourg,13 June 2025,12 Jun 2026 - 08:13 (UTC),About the LCSB The University of Luxembourg is an international research university with a distinctly multilingual and interdisciplinary character. The Luxembourg Centre for Systems Biomedicine (LCSB) is an interdisciplinary research centre of the University of Luxembourg. We conduct fundamental and...,University of Luxembourg,/jobs/352344,Computational_Neuroscience
Assistant Professor in Neuroscience and Biomedical Engineering,Finland,13 June 2025,18 Aug 2025 - 00:00 (UTC),"Aalto University is where science and art meet technology and business. We shape a sustainable future by making research breakthroughs in and across our disciplines, sparking the game changers of tomorrow and creating novel solutions to major global challenges. Our community is made up of 120...",Times Higher Education,/jobs/352371,Computational_Neuroscience
Tenure Track Assistant Professor in Bioelectronics and Wearable Devices for Biom,Netherlands,17 July 2025,28 Sep 2025 - 22:00 (UTC),"Are you an expert in wearable/flexible electronic sensor technology, bioelectronics, biosensors and real-time health monitoring? Are you looking for a career development opportunity with a structured tenure-track system and the potential to become a Full Professor within 10 years? Do you want to...",University of Groningen via AcademicTransfer,/jobs/361788,Neural_Engineering
Researcher in experimentation environment FPGA for quantified neural networks,France,16 July 2025,17 Aug 2025 - 20:00 (Europe/Paris),"Current research in neural network efficiency include heterogeneous quantization, custom number representation, sparse data storage, etc. In order to demonstrate efficiency improvements of hardware implementation of neural networks, fully operational FPGA prototyping is necessary toexhibit...",Grenoble INP - Institute of Engineering,/jobs/361700,Neural_Engineering
Professor in Circuits and Systems for Neural Engineering,Belgium,16 July 2025,7 Oct 2025 - 23:59 (UTC),Join Europe's most innovative university as Electrical Engineering expert!,KU Leuven,/jobs/361430,Neural_Engineering
Postdoc in Scalable Graph Learning,Netherlands,16 July 2025,31 Aug 2025 - 21:59 (UTC),"Job descriptionGraph machine learning (Graph ML) is a rapidly growing field of artificial intelligence (AI), driven by the widespread presence of graph-structured data in many real-world scenarios. Graph neural networks (GNNs) are at the core of this emerging field and have proven effective in a...",Delft University of Technology via AcademicTransfer,/jobs/361410,Neural_Engineering
PhD Candidate in Machine Learning and Molecular Modelling of Drug Design,Netherlands,16 July 2025,22 Aug 2025 - 21:59 (UTC),"Are you a highly motivated MSc graduate with a strong affinity for machine learning and molecular modeling of drug discovery? The AI for Chemistry group, headed by Associate Professor Bernd Ensing, is looking for a curious and ambitious PhD candidate to work on the development of machine learning...",University of Amsterdam (UvA) via AcademicTransfer,/jobs/361416,Neural_Engineering
PhD Position Acoustic and psychoacoustic modelling for sound quality assessment in hospital PICUs,Netherlands,16 July 2025,30 Sep 2025 - 21:59 (UTC),"Help revolutionize healthcare! Develop innovative technologies to improve soundscapes in critical care units, enhancing patient safety and nurse wellbeing through cutting-edge acoustic solutions.Job descriptionNoise pollution causes harmful health effects. Paediatric Intensive Care Units (PICUs) are...",Delft University of Technology via AcademicTransfer,/jobs/361417,Neural_Engineering
PhD Position: Molecular Information Processing,Netherlands,15 July 2025,31 Aug 2025 - 21:59 (UTC),Do you want to contribute to the next level of molecular computing? Are you excited about the application of AI tools to train molecular systems how to process information? Then join our team as a PhD candidate!Scientists have speculated about the inherent potential of molecular systems for...,Radboud University Nijmegen via AcademicTransfer,/jobs/360965,Neural_Engineering
Two Postdoctoral Positions in Biofabrication at the MERLN Institute - CTR Department,Netherlands,15 July 2025,17 Aug 2025 - 21:59 (UTC),"The Department of Complex Tissue Regeneration (CTR) at the MERLN Institute, Maastricht University, invites applications for two exciting postdoctoral positions in the field of biofabrication and regenerative medicine: Postdoc in Computational Biofabrication – Focused on machine learning...",Maastricht University via AcademicTransfer,/jobs/360966,Neural_Engineering
Assistant Professor in a group of research workers in the Department of Automatic Control and Robotics,Poland,14 July 2025,14 Aug 2025 - 23:59 (Europe/Warsaw),"Employment under the IDUB Action D11: Funding short-term visits of researchers from abroad as well as grants for long-term stays of foreign researchers at AGH - Employment of foreign researchers in PostDoc positions, 1st edition.The candidate for a position of assistant professor will be required to...",AGH University of Krakow,/jobs/360905,Neural_Engineering
PhD position in wind farm fatigue load surrogating through graph-based machine learning,Belgium,12 July 2025,15 Aug 2025 - 21:59 (UTC),"1 - Working at the VUBFor more than 50 years, the Vrije Universiteit Brussel has stood for freedom, equality and solidarity, and this is very much alive on our campuses among students and staff alike. At the VUB, you will find a diverse collection of personalities: innovators pur sang, but above all...",Academic Positions,/jobs/360723,Neural_Engineering
PhD positions in generative modeling using spiking networks F/M,Switzerland,12 June 2025,31 Aug 2025 - 23:59 (Europe/Zurich),"Funded by the Swiss National Science Foundation, the Idiap Research Institute seeks two PhD students to work in the general area of generative modeling using spiking networks.Spiking networks are neural networks designed with dynamics much closer to biological networks than their conventional...",Idiap Research Institute,/jobs/352234,Neural_Engineering
Research Scientist or Postdoctoral Researcher Position (25-597) (Laboratory for Neural Computation and Adaptation),Japan,12 June 2025,6 Jun 2026 - 23:59 (UTC),[Background of the recruitment and description of the project] * Background of the recruitment and description of the project [Outline of Laboratory] Our research is within the field of Computational Neuroscience. We utilize computer models to explore how information is processed in the brain and...,JREC-IN Portal,/jobs/351861,Neural_Engineering
R&D Scientist (Machine Learning for scientific computing),Belgium,11 June 2025,11 Sep 2025 - 16:19 (Europe/Brussels),"What you will doAI Compute is a department in the AI & Algorithms expertise center that develops advanced AI compute solutions involving AI models, algorithms, implementations, sensors and hardware for small scale edge up to large scale distributed and hybrid hardware architectures. The applications...",IMEC,/jobs/351733,Neural_Engineering
Master's thesis/Internship in robotics foundation models for motor control,Austria,8 June 2025,31 Dec 2025 - 00:00 (Europe/Vienna),MissionWe are inviting applications for master's theses/internship positions focused on pioneering robotic foundation models to understand the neural basis of mammalian motor control. The projects are generously funded by an ERC Starting Grant and a WWTF Vienna Research Group Grant.Our lab is...,"Institute of Artificial Intelligence, Medical University of Vienna",/jobs/350949,Neural_Engineering
PhD position in robotics foundation models for motor control,Austria,8 June 2025,31 Dec 2025 - 00:00 (Europe/Vienna),MissionWe are inviting applications for a PhD position or internship focused on pioneering robotic foundation models to understand the neural basis of mammalian motor control. The projects are generously funded by an ERC Starting Grant and a WWTF Vienna Research Group Grant.Our lab is driving a...,"Institute of Artificial Intelligence, Medical University of Vienna",/jobs/350948,Neural_Engineering
Postdoc position in robotics foundation models for motor control,Austria,8 June 2025,31 Dec 2025 - 00:00 (Europe/Vienna),MissionWe are inviting applications for a postdoctoral position or internship focused on pioneering robotic foundation models to understand the neural basis of mammalian motor control. The projects are generously funded by an ERC Starting Grant and a WWTF Vienna Research Group Grant.Our lab is...,"Institute of Artificial Intelligence, Medical University of Vienna",/jobs/350944,Neural_Engineering
Research Engineer (AI for Autonomous Driving Perception) (LX),Singapore,6 June 2025,30 Sep 2025 - 00:00 (UTC),"As a University of Applied Learning, SIT works closely with industry in our research pursuits. Our research staff will have the opportunity to be equipped with applied research skill sets that are relevant to industry demands while working on research projects in SIT. The primary responsibility of...",Times Higher Education,/jobs/350120,Neural_Engineering
I-2463 EXPERIENCED RESEARCHER IN THE FIELD OF FRUGAL/GREEN AI,Luxembourg,5 June 2025,1 Jan 2026 - 00:00 (Europe/Luxembourg),"Permanent contract | Belval Are you passionate about research? So are we! Come and join usThe Luxembourg Institute of Science and Technology (LIST) is a Research and Technology Organization (RTO) active in the fields of materials, environment and IT. By transforming scientific knowledge into...",Luxembourg Institute of Science and Technology,/jobs/349816,Neural_Engineering
PhD position in Deep Learning applied to Animal Behavior,Germany,4 June 2025,30 Sep 2025 - 16:20 (Africa/Abidjan),"Fully funded Ph.D. Position (m/f/d) in Deep Learning applied to Animal BehaviorInstitution/Department: Lamarr - Institute for Machine Learning and Artificial Intelligence &Department of Information Systems and Artificial Intelligence, University of BonnLocation: Bonn, GermanyStarting Date: from...",Data Science of Bioimages,/jobs/349479,Neural_Engineering
Postdoctoral Fellowship,Türkiye,30 May 2025,30 Sep 2025 - 23:59 (Europe/Istanbul),Join Our Research Team: Network of European Funding for Neuroscience Research Postdoctoral Fellowship on Mechanisms Of Resilience And Vulnerability To Environmental Challenges In Mental Health.Brain Development and Psychosis LabNational Magnetic Resonance Research Center (UMRAM) Aysel Sabuncu Brain...,Bilkent University,/jobs/348549,Neural_Engineering
PhD offer : Understanding the Hedonic Response to Touch (M/F),France,31 July 2025,30 Aug 2025 - 00:00 (UTC),"The work will be carried out under the joint supervision of Laurence Mouchnino at ISM, and co-supervisors Jean-Marc Aimonetti and Rochelle Ackerley at CRPN. The research will be conducted both at ISM on the Luminy campus and at CRPN on the Saint Charles campus, and occasionally in other laboratories...",CNRS - National Center for Scientific Research,/jobs/365687,Neural_Signal_Processing
PhD Position in Auditory Cognitive and Computational Neuroscience,Netherlands,31 July 2025,17 Aug 2025 - 21:59 (UTC),Join a cutting-edge project investigating how the brain and body dynamically engage with sound in real-world listening situations.Job DescriptionWe are looking for a motivated PhD candidate to join an interdisciplinary project investigating how the human brain and body adaptively engage with sound...,Maastricht University via AcademicTransfer,/jobs/365611,Neural_Signal_Processing
PhD and Postdoc positions in Artificial Intelligence Methods in Magnetic Resonance Spectroscopy and Imaging,Israel,30 July 2025,30 Sep 2025 - 00:00 (Africa/Abidjan),"Following the award of ERC Advanced and Israel Science Foundation grants, the Frydman and Kuprov groups at the Weizmann Institute of Science have a joint PhD student vacancy in Artificial Intelligence methods in Magnetic Resonance Spectroscopy and Imaging. Project topics include: Steady-state free...",Weizmann Institute of Science,/jobs/365505,Neural_Signal_Processing
Postdoctoral position in computational social neuroscience (M/F) (H/F),France,29 July 2025,19 Aug 2025 - 23:59 (UTC),-Applications are invited for a postdoctoral position to study the neurocomputational mechanisms of information propagation in social networks. The Neuroeconomics group of Dr Jean-Claude Dreher combines multimodal neuroimaging with computational modeling to characterize the neural mechanisms...,CNRS - National Center for Scientific Research,/jobs/364916,Neural_Signal_Processing
Emotional Assessment and Adaptation of Voice-Based LLMs in Assistive Robotics for Elderly Care and Ethical Challenges (M/F),France,25 July 2025,14 Aug 2025 - 23:59 (UTC),"LISN, parc de GPU, labIA, Jean-Zay Context: As part of the ANR HUMAAINE: HUMAN-MACHINE AFFECTIVE INTERACTION & ETHICS chair at LISN-CNRS, we have been developing research on oral interaction with social robots. 5 theses have already been defended on emotion detection systems (Feng, 2025; Deschamps...",CNRS - National Center for Scientific Research,/jobs/364211,Neural_Signal_Processing
Senior Researcher at the Biomaterials for neural Regeneration Research Group,Spain,23 July 2025,4 Aug 2025 - 23:59 (Europe/Madrid),"Introduction to the vacant position: The Institute for Bioengineering of Catalonia (IBEC), a cutting-edge research center based in Barcelona, is looking for a Senior Researcher to develop a project on the role of identification and application of bioactive extracellular matrix (ECM) cues to design...","Institute for bioengineering of Catalonia, IBEC",/jobs/363496,Neural_Signal_Processing
Assistant (education),Poland,21 July 2025,25 Aug 2025 - 23:59 (Europe/Warsaw),Assistant (education) at Faculty of Electronics/Military University of Technology,Military University of Technology - Wojskowa Akademia Techniczna,/jobs/362769,Neural_Signal_Processing
Assistant (teaching assistant),Poland,17 July 2025,25 Aug 2025 - 23:59 (Europe/Warsaw),"A person employed as an assistant in the Department of Avionics of the Faculty of Mechatronics, Armaments and Aerospace of the Military University of Technology will be responsible for the implementation of tasks related to: educating students, conducting teaching classes and organizational...",Military University of Technology - Wojskowa Akademia Techniczna,/jobs/361963,Neural_Signal_Processing
Assistant (teaching assistant),Poland,17 July 2025,25 Aug 2025 - 23:59 (Europe/Warsaw),"A person employed as an assistant in the Department of Avionics of the Faculty of Mechatronics, Armaments and Aerospace of the Military University of Technology will be responsible for the implementation of tasks related to: educating students, conducting teaching classes and organizational...",Military University of Technology - Wojskowa Akademia Techniczna,/jobs/361960,Neural_Signal_Processing
Researcher in experimentation environment FPGA for quantified neural networks,France,16 July 2025,17 Aug 2025 - 20:00 (Europe/Paris),"Current research in neural network efficiency include heterogeneous quantization, custom number representation, sparse data storage, etc. In order to demonstrate efficiency improvements of hardware implementation of neural networks, fully operational FPGA prototyping is necessary toexhibit...",Grenoble INP - Institute of Engineering,/jobs/361700,Neural_Signal_Processing
Assistant Professor (Adjunct) at the Department of Affective Cognitive Neuroscience IP PAS,Poland,16 July 2025,5 Aug 2025 - 23:59 (Europe/Warsaw),"Candidate for the position of Assistant Professor (Adjunct) at the Department of Affective Cognitive Neuroscience, Maj Institute of Pharmacology Polish Academy of Sciences. KEYWORDS: animal models of CNS diseases, cell cultures, clinical research, cannabinoids, psychopharmacology, glutamatergic...",Institute of Pharmacology Polish Academy of Sciences,/jobs/361717,Cognitive_and_Systems_Neuroscience
Associate Professor/Assistant Professor in Brain Cognition and AI,Macao,15 July 2025,12 Sep 2025 - 00:00 (UTC),The University of Macau (UM) is an internationalized research-oriented comprehensive public university in the Macao Special Administrative Region (MSAR) located at the west bank of the Guangdong-Hong Kong-Macao Greater Bay Area (GBA). The GBA is rapidly developing into one of the leading technology...,Times Higher Education,/jobs/361011,Cognitive_and_Systems_Neuroscience
