title,location,posted_on,deadline,details,institute,link,keyword
PhD offer : Understanding the Hedonic Response to Touch (M/F),France,31 July 2025,30 Aug 2025 - 00:00 (UTC),"The work will be carried out under the joint supervision of Laurence Mouchnino at ISM, and co-supervisors Jean-Marc Aimonetti and Rochelle Ackerley at CRPN. The research will be conducted both at ISM on the Luminy campus and at CRPN on the Saint Charles campus, and occasionally in other laboratories...",CNRS - National Center for Scientific Research,/jobs/365687,EEG
PhD Position in Auditory Cognitive and Computational Neuroscience,Netherlands,31 July 2025,17 Aug 2025 - 21:59 (UTC),Join a cutting-edge project investigating how the brain and body dynamically engage with sound in real-world listening situations.Job DescriptionWe are looking for a motivated PhD candidate to join an interdisciplinary project investigating how the human brain and body adaptively engage with sound...,Maastricht University via AcademicTransfer,/jobs/365611,EEG
Scientific Research Fellowship (BII)  044/2025,Portugal,30 July 2025,1 Sep 2025 - 23:59 (Europe/London),NOTICE N.º 044/2025OPEN CALL FOR RESEARCH GRANT APPLICATION WITHIN THE TERMS LAID DOWN OF THE REGULATIONS FOR RESEARCH SCHOLARSHIPS OF THE UNIVERSITY OF ALGARVETITLE: 1 Research Initiation GrantIt is now open a call for 1 Research Initiation Grant within the project ‘Neuroplasticity in stuttering...,University of Algarve,/jobs/365547,EEG
PhD student (M/F),France,30 July 2025,19 Aug 2025 - 23:59 (UTC),"The successful candidate will be supervised by Bruno Rossion, in collaboration with Jacques Jonas.https://face-categorization-lab.webnode.com/The successful PhD candidate will become a full member of the Systems and Cognitive Neuroscience group of the CNRS laboratory IMoPA UMR7365, Université de...",CNRS - National Center for Scientific Research,/jobs/365358,EEG
Postdoctoral position in computational social neuroscience (M/F) (H/F),France,29 July 2025,19 Aug 2025 - 23:59 (UTC),-Applications are invited for a postdoctoral position to study the neurocomputational mechanisms of information propagation in social networks. The Neuroeconomics group of Dr Jean-Claude Dreher combines multimodal neuroimaging with computational modeling to characterize the neural mechanisms...,CNRS - National Center for Scientific Research,/jobs/364916,EEG
One (1) Postdoctoral Researcher Position [Ref # ORZ-0795],Greece,6 August 2025,16 Aug 2025 - 23:59 (Europe/Athens),The research group of Systems Neuroscience of IMBB under the European Program ERC-2022-STG - NEURACT entitled “Untangling population representations of objects. A closed loop approach to link neural activity to mouse behavior” (Program Coordinator Prof. Froudarakis) invites applications for one (1)...,Foundation for Research and Technology-Hellas,/jobs/366781,Computational_Neuroscience
Post-Doctoral Researcher in Neuroimaging Neuroscience,Australia,6 August 2025,3 Sep 2025 - 00:00 (UTC),"Full-time, fixed term opportunity for two years Position description: Postdoctoral Research Associate in Neuroimaging Neuroscience Location: O'Callaghan group, School of Medical Sciences, Faculty of Medicine and Health, University of Sydney Base Salary starting at $113,400 + 17% superannuation About...",Times Higher Education,/jobs/366692,Computational_Neuroscience
Biozentrum PhD Fellowships &ndash; Winter Call 2025_26,Switzerland,6 August 2025,3 Sep 2025 - 21:59 (UTC),"The Biozentrum of the University of Basel is one of the leading life sciences institutes in the world. Its fundamental research embraces a wide range of topics such as biochemistry, biophysics, physics of living systems, structural biology, microbiology, infection biology and immunology, cell and...",Academic Positions,/jobs/366715,Computational_Neuroscience
AI algorithms Developer for the Clinical Neurosciences Research Group,Spain,5 August 2025,31 Aug 2025 - 14:00 (Europe/Madrid),The selected person will join the research line Injury Identification and Recovery: Biomarkers within the Clinical Neurosciences Group to carry out tasks related to the PReDICT project: Pediatric stroke Rare Disordes: Integrative Diagnosis and Treatment using Multi-Omics and Deep Learning (PMPER24...,"Institut de Recerca Biomèdica de Lleida, Fundació Dr. Pifarré (IRBLleida)",/jobs/366561,Computational_Neuroscience
Senior Trial Manager,Australia,5 August 2025,17 Aug 2025 - 00:00 (UTC),"Classification: ANU Officer 8 (Research) Salary package: $118,399 to $126,607 per annum (pro rata if part time) plus 17% superannuation Term: Full time or Part time (0.6 FTE), Fixed Term (up to 2 years) Position Description and Selection Criteria: PD and PEWER O8 Senior Trial Manager_JCSMR.pdf The...",Times Higher Education,/jobs/366473,Computational_Neuroscience
PhD student to develop model-based reconstruction methods for quantitative super-resolution perfusion magnetic resonance imaging (MRI),Belgium,5 August 2025,20 Aug 2025 - 21:59 (UTC),"Let’s shape the future - University of AntwerpThe University of Antwerp is a dynamic, forward-thinking, European university. We offer an innovative academic education to more than 20000 students, conduct pioneering scientific research and play an important service-providing role in society. We are...",University of Antwerp,/jobs/366487,Computational_Neuroscience
JYU Visiting Fellow Programme 2026,Finland,5 August 2025,15 Sep 2025 - 20:59 (UTC),"CALL FOR APPLICATIONSJYU Visiting Fellow Programme 2026The University of Jyväskylä (JYU), Finland, invites applications for the JYU Visiting Fellow Programme 2026. The programme supports researchers with a doctoral degree, who are from outside Finland, to visit JYU for one (30 calendar days) to...",Academic Positions,/jobs/366502,Computational_Neuroscience
University assistant predoctoral 1,Austria,2 August 2025,21 Aug 2025 - 00:00 (UTC),"Job description: At the University of Vienna, over 10,000 people work together on the big questions of the future. Approximately 7,500 of them are academic staff members. These are individuals who, with their curiosity and their continuous pursuit of excellence, engage in international cutting-edge...",University of Vienna (JOBCENTER),/jobs/366268,Computational_Neuroscience
Research Associate,United Kingdom,2 August 2025,10 Aug 2025 - 00:00 (UTC),"About Us The Faculty of Life Sciences & Medicine brings together disciplinary strengths in biomedical sciences, clinical research and public health to improve human health. Our Faculty encompasses world-class departments—from neuroscience and structural molecular biology to infectious diseases and...",Times Higher Education,/jobs/366237,Computational_Neuroscience
"Research Assistant position at the emergent Team “Ecological Cognition and Computation” at Inserm, Lyon",France,1 August 2025,31 Aug 2025 - 12:00 (Europe/Paris),"We are looking for a Research Manager for our emergent Team “Ecological Cognition and Computation” led by Dr Nils Kolling, which is strongly associated with the Team “Neurobiology of Executive functions”, both part of Inserm, Auvergne Rhône-Alpes. The primary aim of our team is understanding of how...",inserm,/jobs/366179,Computational_Neuroscience
"MSCA-PF: Joint application at the University of Granada. Department of Signal Theory, Telematics and Communications.",Spain,28 April 2025,10 September 2025,"Professor J osé Andrés González López , from the Department of Signal Theory, Telematics and Communications at the University of Granada, welcomes postdoctoral candidates interested in applying for a Marie Skłodowska-Curie Postdoctoral Fellowship (MSCA-PF) in 2025 at this University. Please...",International Research Projects Office,/jobs/hosting/msca-pf-joint-application-university-granada-department-signal-theory-telematics-and-4,EEG
MSCA-PF: Joint application at the University of Granada. Department of Physical Education & Sports.,Spain,25 April 2025,10 September 2025,"Professor Jose Heredia-Jimenez, from the Department of Physical Education & Sports at the University of Granada, welcomes postdoctoral candidates interested in applying for a Marie Skłodowska-Curie Postdoctoral Fellowship (MSCA-PF) in 2025 at this University. Please note that applicants must...",International Research Projects Office,/jobs/hosting/msca-pf-joint-application-university-granada-department-physical-education-sports-0,EEG
"MSCA POSTDOCTORAL FELLOWSHIPS AT VU FACULTY OF MEDICINE, TRANSLATIONAL HEALTH RESEARCH INSTITUTE, CENTER FOR APPLIED NEUROSCIENCES (electroencephalography, neurotechnology, biomarkers)",Lithuania,23 April 2025,10 August 2025,"Vilnius University (VU) invites motivated researchers with a strong track record to prepare joint applications for  2025 Marie Skłodowska-Curie Actions Postdoctoral Fellowships (MSCA PF) call with a deadline on September 10, 2025. MSCA PF are among the flagship, most prestigious research...",Vilnius University,/jobs/hosting/msca-postdoctoral-fellowships-vu-faculty-medicine-translational-health-research-1,EEG
"MSCA-PF: Joint application at the University of Granada. Department of Signal Theory, Telematics and Communications.",Spain,23 April 2025,10 September 2025,"Professor J osé Andrés González López , from the Department of Signal Theory, Telematics and Communications at the University of Granada, welcomes postdoctoral candidates interested in applying for a Marie Skłodowska-Curie Postdoctoral Fellowship (MSCA-PF) in 2025 at this University. Please...",International Research Projects Office,/jobs/hosting/msca-pf-joint-application-university-granada-department-signal-theory-telematics-and-3,EEG
MSCA-PF: Joint application at the University of Granada. Department of Electromagnetism and Physics of the Matter.,Spain,21 April 2025,10 September 2025,"Professor Joaquín J. Torres, from the Department of Electromagnetism and Physics of the Matter at the University of Granada, welcomes postdoctoral candidates interested in applying for a Marie Skłodowska-Curie Postdoctoral Fellowship (MSCA-PF) in 2025 at this University. Please note that...",International Research Projects Office,/jobs/hosting/msca-pf-joint-application-university-granada-department-electromagnetism-and-physics-0,EEG
Improving Computer Vision Models through Neural Signal Integration and Causal Inference (VINCI),France,18 April 2025,31 Aug 2025 - 23:00 (Europe/Paris),"Thesis supervisor : Adrien MERLINIThesis co-supervisors : Mai Quyen PHAM, Giulia LIOI, Javen SHI & Zhen ZHANGThesis co-supervised with The University of Adelaide, Australia Scientific Context:Artificial Intelligence (AI) has achieved remarkable progress in tasks traditionally requiring human...",IMT Atlantique,/jobs/337380,EEG
"Project Research Associate (Full-time Fixed-term Project Staff) (Chao Laboratory) at IRCN, The University of Tokyo",Japan,17 April 2025,30 Sep 2025 - 23:59 (UTC),"[Background of the recruitment and description of the project] * Background of the recruitment and description of the project The IRCN (International Research Center for Neurointelligence) was established on October 10, 2017 with a 10-year mission: to create a new discipline at the interface of...",JREC-IN Portal,/jobs/336708,EEG
Post-Doctoral Research Visit F/M Postdoctoral Position - Neural correlates of social interaction and its impact on performance in middle childhood,France,16 April 2025,30 Sep 2025 - 00:00 (UTC),"Social interaction among children is crucial for the proper development of social and cognitive skills, as well as for proper brain development. However, the topic of how children acquire the ability to form social bonds with their peers remains understudied and therefore poorly understood. One...",inria,/jobs/336235,EEG
PhD candidate in AI and cognitive sciences,Luxembourg,10 April 2025,9 Apr 2026 - 04:11 (UTC),"About the FHSE The University of Luxembourg is an international research university with a distinctly multilingual and interdisciplinary character. The Faculty of Humanities, Education and Social Sciences (FHSE) at the University of Luxembourg brings together expertise from the humanities...",University of Luxembourg,/jobs/334569,EEG
ENACT Transport optimal pour la classification automatique et la modélisation de données spectroscopiques multimodales : application au diagnostic in vivo de cancers de la peau // ENACT Optimal transport approaches for multimodal spectroscopic data automa,France,18 March 2025,30 Sep 2025 - 22:00 (UTC),"1. Contexte de recherche Les procédures cliniques standard de diagnostic des cancers de la peau impliquent des examens visuels, suivis de biopsies chirurgicales, qui sont invasives et pas toujours précises [1]. En revanche, les méthodes de spectro-imagerie optique ont un potentiel pour la...",ABG  - Association Bernard Gregory,/jobs/326494,EEG
PhD Research Fellow in Machine Learning (ref 283103),Norway,6 July 2025,15 Aug 2025 - 23:00 (Europe/Oslo),This Ph.D. position is focused on ML in realistic settings referring to statistical and system characteristics in the real world contrary to an ideal learing setting. The candidate will contribute to understanding how neural networks extract the most relevant information of the data to make a...,University of Oslo,/jobs/358857,Computational_Neuroscience
1–2 early career Group Leaders (ref 282908),Norway,5 July 2025,8 Sep 2025 - 23:00 (Europe/Oslo),"Lead your own research group at NCMBM.We are recruiting 1–2 early career Group Leaders on nine-year EMBL-style appointments. Successful candidates will receive a competitive start-up package and join a vibrant, international research community embedded in both academic and clinical environments...",University of Oslo,/jobs/358816,Computational_Neuroscience
One or more Postdoc positions at the Center for Neuroplasticity and Pain (CNAP),Denmark,5 July 2025,1 Sep 2025 - 21:59 (UTC),"One or more Postdoc positions at the Center for Neuroplasticity and Pain (CNAP)Are you enthusiastic about human pain research? The Center for Neuroplasticity and Pain (CNAP) at Aalborg University is recruiting one or more postdoctoral researchers, to start 1st of November 2025 or soon thereafter...",Aalborg Universitet,/jobs/358559,Computational_Neuroscience
PhD in Developing an EEG-based neural model of human working memory (1.0 FTE),Netherlands,4 July 2025,17 Aug 2025 - 22:00 (UTC),"Human cognition is highly adaptive and can reason flexibly with new information. A crucial element for this is our working memory: a quick, reliable, and flexible system to maintain information temporarily, as needed, when needed. The goal of this project is to advance the understanding of how...",University of Groningen via AcademicTransfer,/jobs/358210,Computational_Neuroscience
Full or Associate Professor (promotion track) in Histology,Luxembourg,2 July 2025,1 Jul 2026 - 11:14 (UTC),"About us The University of Luxembourg is an international research university with a distinctly multilingual and interdisciplinary character. The Department of Life Sciences and Medicine (DLSM) is part of the Faculty of Science, Technology and Medicine of the University of Luxembourg. DLSM is...",University of Luxembourg,/jobs/357449,Computational_Neuroscience
Nine-month postdoctoral position in visual computational neuroscience,France,1 July 2025,30 Sep 2025 - 21:59 (UTC),"RESEARCHER PROFILE: Postdoc / R2: PhD holders |RESEARCH FIELD(S)1: BiologyMAIN SUB RESEARCH FIELD OR DISCIPLINES1: EngineeringJOB /OFFER DESCRIPTION This position is part of the ECOPOL project funded by the Agence Nationale de la Recherche (ANR) and the Agence Innovation Défense (AID), involving the...",Academic Positions,/jobs/357184,Computational_Neuroscience
"The University of Tokyo, Department of Applied Biological Chemistry, Graduate School of Agricultural and Life Sciences",Japan,27 June 2025,1 Oct 2025 - 23:59 (UTC),"[Background of the recruitment and description of the project] * Background of the recruitment and description of the project The Laboratory of Biochemistry, Graduate School of Agricultural and Life Sciences at the University of Tokyo is seeking a candidate to engage in research on physiological...",JREC-IN Portal,/jobs/355998,Computational_Neuroscience
Open Recruitment for Associate Professor (Female Only/Graduate School of Information Science and Technology ),Japan,27 June 2025,8 Aug 2025 - 23:59 (UTC),"[Background of the recruitment and description of the project] * Background of the recruitment and description of the project The Cognitive Neuroinformatics Laboratory (Nakano Group) at the Graduate School of Information Science and Technology conducts research that combines neuroscience, bioscience...",JREC-IN Portal,/jobs/356023,Computational_Neuroscience
"Recruitment of Postdoctoral Researcher at Arctic Geochemical Cycle Research Group, Institute of Arctic Climate and Environment Research (IACE), Research Institute for Global Change (RIGC) (AGP25-016)",Japan,27 June 2025,24 Aug 2025 - 23:59 (UTC),[Background of the recruitment and description of the project] * Background of the recruitment and description of the project We are accepting applications for a Postdoctoral Researcher position related to the “Future projections of the boreal forest ecosystem: Transient biosphere responses to...,JREC-IN Portal,/jobs/356053,Computational_Neuroscience
"[Female only] Seeking a Chief Scientist (Principal investigator, Indefinite-term) (25-576) (Pioneering Research Institute)",Japan,27 June 2025,16 Sep 2025 - 23:59 (UTC),"[Background of the recruitment and description of the project] * Background of the recruitment and description of the project Research Field and Overview RIKEN's research is based on comprehensiveness and interdisciplinarity, and with free thinking as its basic philosophy, RIKEN promotes research...",JREC-IN Portal,/jobs/356059,Computational_Neuroscience
Post doc in in electronics for smart implants,Italy,9 July 2025,9 Aug 2025 - 00:00 (UTC),"Commitment & contract: 2 years, temporary contract Location: Center for Human Technologies (CHT), Genova (GE) Step into a world of endless possibilities, together let’s leave something for the future! At IIT, we are committed to advancing human-centered Science and Technology to address the most......",ISTITUTO ITALIANO DI TECNOLOGIA,/jobs/359493,Cognitive_Neuroscience
"NOTICE OF SELECTION PROCEDURE FOR THE ADMISSION TO PhD PROGRAMME IN THEORETICAL AND APPLIED NEUROSCIENCE (CYCLE 41st, A. Y. 2025/2026) headquarters at the School of Advanced Studies - International Doctoral School University of Camerino",Italy,9 July 2025,19 Aug 2025 - 13:00 (UTC),"Selection procedure for admission to the PhD programme in ""THEORETICAL AND APPLIED NEUROSCIENCE"", 41st cycle . Academic Year 2025-2026, with headquarters at the School of Advanced Studies - International Doctoral School of the University of Camerino. National PhD Programme in ""Theoretical and...","Italian Ministry of Education, University and Research",/jobs/359580,Cognitive_Neuroscience
Post-Doctorant,France,8 July 2025,30 Sep 2025 - 00:00 (Europe/Paris),"CONTEXTAre you an early-career cognitive neuroscientist, looking to contribute to a new line of research? The Paris Brain Institute is seeking a postdoctoral researcher to join The Frontlab team (“the prefrontal cortex as a critical hub for higher cognitive functions: from health to disease »). For...",Institut du Cerveau et de la Moelle épinière,/jobs/359287,Cognitive_Neuroscience
PhD/Postdoc position at the Institute of Neuroscience Université Catholique de Louvain  Identification of VNS response,Belgium,7 July 2025,31 Aug 2025 - 08:00 (Europe/Brussels),"Vagus nerve stimulation is an add-on treatment for patients with refractory epilepsy. Despite its well-established use in clinical practice, mechanisms of action remain poorly understood and only one third of implanted patients respond to the treatment. This project aims to improve VNS therapy by...",UCL-Institute of NeuroScience,/jobs/358952,Cognitive_Neuroscience
PhD in Developing an EEG-based neural model of human working memory (1.0 FTE),Netherlands,4 July 2025,17 Aug 2025 - 22:00 (UTC),"Human cognition is highly adaptive and can reason flexibly with new information. A crucial element for this is our working memory: a quick, reliable, and flexible system to maintain information temporarily, as needed, when needed. The goal of this project is to advance the understanding of how...",University of Groningen via AcademicTransfer,/jobs/358210,Cognitive_Neuroscience
Nine-month postdoctoral position in visual computational neuroscience,France,1 July 2025,30 Sep 2025 - 21:59 (UTC),"RESEARCHER PROFILE: Postdoc / R2: PhD holders |RESEARCH FIELD(S)1: BiologyMAIN SUB RESEARCH FIELD OR DISCIPLINES1: EngineeringJOB /OFFER DESCRIPTION This position is part of the ECOPOL project funded by the Agence Nationale de la Recherche (ANR) and the Agence Innovation Défense (AID), involving the...",Academic Positions,/jobs/357184,Cognitive_Neuroscience
Open Recruitment for Associate Professor (Female Only/Graduate School of Information Science and Technology ),Japan,27 June 2025,8 Aug 2025 - 23:59 (UTC),"[Background of the recruitment and description of the project] * Background of the recruitment and description of the project The Cognitive Neuroinformatics Laboratory (Nakano Group) at the Graduate School of Information Science and Technology conducts research that combines neuroscience, bioscience...",JREC-IN Portal,/jobs/356023,Cognitive_Neuroscience
Research Manager (at the rank of Senior Research Assistant or Post-doctoral Fellow),Hong Kong,27 June 2025,31 Aug 2025 - 00:00 (UTC),Ref.: 532431 Work type: Full-time Department: Centre for Advancement of Chinese Language Education and Research within the Faculty of Education (10088) Categories: Senior Research Staff & Post-doctoral Fellow Research Manager (at the rank of Senior Research Assistant or Post-doctoral Fellow) in the...,Times Higher Education,/jobs/356141,Cognitive_Neuroscience
"PhD Candidate for Computational Approaches for Studying Animal Behavior, Personality, and Emotions",Israel,26 June 2025,8 Oct 2026 - 13:02 (Asia/Jerusalem),"About our Campus: Rehovot Campus (Rehovot) and Mt. Scopus Campus (Jerusalem). The position will be based across two campuses: The Robert H. Smith Faculty of Agriculture, Food and Environment on The Hebrew University’s beautiful Rehovot Campus. Rehovot is centrally located, only a 30 minutes’ drive...",Hebrew University of Jerusalem,/jobs/355801,Cognitive_Neuroscience
